model_id,split,dataset,label,n,min,p25,median,p75,max,mean
balanced_bagging_xgb_baseline,val,usbvpn,1,3,0.3660300221,0.6006715360500001,0.8353130500000001,0.9128596720000001,0.990406294,0.7305831220333333
balanced_bagging_xgb_baseline,val,vnat,_all_,24,0.025923572699999998,0.19525628201527784,0.9443579,0.9443579,0.9443579,0.5937334184778268
balanced_bagging_xgb_baseline,val,vnat,0,12,0.025923572699999998,0.12618121356875,0.1888092593805556,0.253444078109375,0.9443579,0.24310893695565353
balanced_bagging_xgb_baseline,val,vnat,1,12,0.9443579,0.9443579,0.9443579,0.9443579,0.9443579,0.9443579
balanced_bagging_xgb_baseline,test,_all_,_all_,124,0.01444827115,0.0372470004,0.101199732725,0.502901628125,0.9814124000000001,0.2856833224027304
balanced_bagging_xgb_baseline,test,iscx,_all_,21,0.134381566,0.47633636200000007,0.655014545,0.7656759009999999,0.9050486400000001,0.629875273904762
balanced_bagging_xgb_baseline,test,iscx,0,17,0.134381566,0.414553342,0.6121031969999999,0.7622977750000001,0.9015717005,0.5907746736764706
balanced_bagging_xgb_baseline,test,iscx,1,4,0.7479135635,0.7611582871250001,0.765624548,0.80051908575,0.9050486400000001,0.796052824875
balanced_bagging_xgb_baseline,test,usbvpn,_all_,77,0.01444827115,0.026309949,0.050397299799999996,0.0999575775,0.9814124000000001,0.10047538487922078
balanced_bagging_xgb_baseline,test,usbvpn,0,72,0.01444827115,0.024864793487500002,0.03944237355000001,0.09013437431250002,0.5880295995,0.06586373110694445
balanced_bagging_xgb_baseline,test,usbvpn,1,5,0.19654799150000002,0.2208545335,0.6321407459999999,0.963460325,0.9814124000000001,0.5988831992
balanced_bagging_xgb_baseline,test,vnat,_all_,26,0.060992760384615395,0.18592189755000002,0.61769410215,0.9443579,0.9443579,0.5561825611630218
balanced_bagging_xgb_baseline,test,vnat,0,13,0.060992760384615395,0.08009734076923078,0.17903651015000002,0.2329806032,0.2910303043,0.16800722232604373
balanced_bagging_xgb_baseline,test,vnat,1,13,0.9443579,0.9443579,0.9443579,0.9443579,0.9443579,0.9443579
balanced_bagging_baseline,val,_all_,_all_,102,0.003645638546965441,0.006719984978795097,0.008930563905196795,0.16967534381398944,0.9903759692818214,0.1509186041614602
balanced_bagging_baseline,val,iscx,_all_,17,0.029420899729643,0.5593956050144374,0.6116941072530366,0.7275547795325,0.9233466439946242,0.5996077564578375
balanced_bagging_baseline,val,iscx,0,16,0.029420899729643,0.5485162276159098,0.6065050891057489,0.693622614940719,0.9233466439946242,0.5876077287862327
balanced_bagging_baseline,val,iscx,1,1,0.7916081992035146,0.7916081992035146,0.7916081992035146,0.7916081992035146,0.7916081992035146,0.7916081992035146
balanced_bagging_baseline,val,usbvpn,_all_,73,0.003645638546965441,0.006036127411014542,0.00761420994257016,0.00914487999793556,0.9903759692818214,0.026557541331178616
