dir,split,n_rows,vpn_rate,datasets
artifacts/experiments/exp_f2_strict_reg,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f2_strict_reg,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f2_strict_reg,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f4_diverse_bagging,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f4_diverse_bagging,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f4_diverse_bagging,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f5_weighted_usb,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f5_weighted_usb,train,35664,0.20266935845670705,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f5_weighted_usb,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_1_5,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_1_5,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_1_5,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_2_0,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_2_0,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_2_0,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_3_0,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_3_0,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f6_ratio_3_0,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_cat-heavy,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_cat-heavy,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_cat-heavy,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_lgbm-heavy,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_lgbm-heavy,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_lgbm-heavy,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_xgb-heavy,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_xgb-heavy,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f7_xgb-heavy,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f9_reduced,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f9_reduced,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f9_reduced,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_3f-core,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_3f-core,train,40583,0.2637311189414287,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_3f-core,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,train,40583,0.2637311189414287,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,train,40583,0.2637311189414287,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,train,40583,0.2637311189414287,"iscx,usbvpn,vnat"
