dir,dataset,n,n_vpn,auc_iso,pr_iso
artifacts/balanced_bagging_lgbm,usbvpn,9002,1359,0.9792225968309698,0.9077486954319465
artifacts/experiments/feature_leakage_reduction/exp_3f-core,usbvpn,6843,425,0.9784307004197753,0.7122429328440879
artifacts/balanced_bagging_cat,usbvpn,9002,1359,0.9770820029235079,0.9268499231413094
artifacts/experiments/ablation_3f_core,usbvpn,6810,423,0.9746287616579332,0.7238127794138548
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,usbvpn,6843,425,0.9669044782138471,0.6081750040762104
artifacts/balanced_subset/balanced,usbvpn,6810,423,0.9664955522465292,0.9314678871089038
artifacts/balanced_subset/full,usbvpn,6810,423,0.9655430042036479,0.9350856229206365
artifacts/ensemble/diverse_bagging_robust13,usbvpn,7540,1038,0.9394022974404199,0.7507750187848425
artifacts/experiments/exp_e_adversarial,usbvpn,6843,425,0.810607665939545,0.2405120578341589
artifacts/ensemble/lood_usbvpn,usbvpn,6810,423,0.5518728756439,0.0738254646824843
artifacts/thesis_finalization/lodo_test_usbvpn,usbvpn,52704,8456,0.5017563130455726,0.16237565094965267
artifacts/leave_two_out/vnat,usbvpn,52182,8327,0.5,0.15957609903798245
artifacts/lood_firewall_tuned/hold_usbvpn,usbvpn,52182,8327,0.36548402073456343,0.13412395947283817
artifacts/leave_two_out/iscx,usbvpn,52182,8327,0.29571036066991346,0.13410339147251177
artifacts/balanced_bagging_cat,vnat,210,13,1.0,1.0
artifacts/balanced_bagging_lgbm,vnat,210,13,1.0,1.0
artifacts/balanced_bagging_tuned,vnat,210,13,1.0,1.0
artifacts/balanced_bagging_xgb,vnat,210,13,1.0,1.0
artifacts/balanced_subset/balanced,vnat,407,3,1.0,1.0
artifacts/balanced_subset/full,vnat,407,3,1.0,1.0
artifacts/ensemble/diverse_bagging_robust13,vnat,210,13,1.0,1.0
artifacts/experiments/exp_c_combined,vnat,607,126,1.0,1.0
artifacts/experiments/exp_d1_safe_expanded,vnat,607,126,1.0,1.0
artifacts/experiments/exp_d2_full_expanded,vnat,607,126,1.0,1.0
artifacts/experiments/exp_d_iat_balanced,vnat,607,126,1.0,1.0
artifacts/experiments/exp_d_iat_expanded,vnat,407,3,1.0,1.0
artifacts/experiments/exp_db_iat_balanced,vnat,407,3,1.0,1.0
artifacts/experiments/exp_f2_strict_reg,vnat,607,126,1.0,1.0
artifacts/experiments/exp_f4_diverse_bagging,vnat,607,126,1.0,1.0
artifacts/experiments/exp_f6_ratio_1_5,vnat,607,126,1.0,1.0
artifacts/experiments/exp_f7_cat-heavy,vnat,607,126,1.0,1.0
artifacts/experiments/exp_f7_lgbm-heavy,vnat,607,126,1.0,1.0
artifacts/experiments/exp_f7_xgb-heavy,vnat,607,126,1.0,1.0
artifacts/experiments/feature_leakage_reduction/exp_3f-core-v2,vnat,607,126,1.0,1.0
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,vnat,607,126,1.0,0.9999999999999999
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,vnat,607,126,0.9999999999999998,0.9999999999999999
artifacts/experiments/exp_f9_reduced,vnat,607,126,0.9999504999505,0.9998154300479882
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,vnat,607,126,0.99994224994225,0.9995822890559732
artifacts/experiments/exp_b_balanced,vnat,607,126,0.9999009999009998,0.9996250468691413
artifacts/experiments/baseline_3ds,vnat,607,126,0.9997689997689998,0.9982905982905983
artifacts/thesis_finalization/lodo_test_iscx,vnat,607,126,0.9997524997524998,0.9991556906450524
artifacts/experiments/exp_f1_light_balance,vnat,607,126,0.9990677490677491,0.9929383827021623
artifacts/experiments/exp_f6_ratio_2_0,vnat,607,126,0.9990677490677491,0.9929383827021623
artifacts/experiments/exp_f6_ratio_3_0,vnat,607,126,0.9990677490677491,0.9929383827021623
artifacts/ensemble/diverse_bagging_robust9,vnat,210,13,0.9990238188207732,0.9779092702169625
artifacts/ensemble/balanced_ensemble_robust9,vnat,210,13,0.9988285825849279,0.9708368554522401
artifacts/experiments/feature_leakage_reduction/exp_3f-core,vnat,607,126,0.9985809985809986,0.9954191967614786
artifacts/experiments/exp_f5_weighted_usb,vnat,607,126,0.9980364980364981,0.9852430555555556
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,vnat,210,13,0.9972666926981648,0.9564102564102565
artifacts/experiments/exp_a_no_direction,vnat,607,126,0.9927482427482428,0.9523161218813392
artifacts/experiments/exp_b_balanced_sample,vnat,407,3,0.9925742574257426,0.3333333333333333
artifacts/ensemble/diverse_bagging_robust,vnat,407,3,0.990924092409241,0.3222222222222222
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,vnat,420,16,0.9777227722772277,0.559061004784689
artifacts/experiments/ablation_4f_no_p25,vnat,407,3,0.9731848184818481,0.24074074074074076
artifacts/balanced_bagging,vnat,407,3,0.969059405940594,0.13636363636363635
artifacts/thesis_finalization/lodo_test_usbvpn,vnat,607,126,0.955944955944956,0.7483766233766234
artifacts/balanced_bagging_firewall_tuned_ensemble,vnat,407,3,0.9504950495049505,0.0870748299319728
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,vnat,407,3,0.9504950495049505,0.0870748299319728
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,vnat,407,3,0.9504950495049505,0.0870748299319728
artifacts/experiments/baseline_2ds,vnat,607,126,0.9490644490644491,0.72
artifacts/experiments/ablation_4f_no_p75,vnat,407,3,0.898927392739274,0.03671957671957672
artifacts/experiments/ablation_3f_core,vnat,407,3,0.7623762376237624,0.018633540372670808
artifacts/thesis_finalization/lodo_test_vnat,vnat,8107,374,0.5291581464533899,0.05440170252435029
artifacts/leave_two_out/iscx,vnat,2899,12,0.515976792518185,0.004353092588386706
artifacts/leave_two_out/usbvpn,vnat,2899,12,0.5108243851749221,0.004231556208509441
artifacts/lood_firewall_tuned/hold_vnat,vnat,2899,12,0.47643170534580304,0.004090454613012892
artifacts/experiments/exp_e_adversarial,vnat,607,126,0.4518859518859518,0.2826957349103126
artifacts/ensemble/lood_vnat,vnat,407,3,0.37788778877887785,0.006916311264137351
