dir,status,split,calibration,n,n_vpn,auc,pr_auc
artifacts/ensemble/balanced_ensemble_robust9,3-DS ✅,test,platt,3351,1251,0.9793388146625557,0.9791742727049163
artifacts/experiments/exp_f6_ratio_2_0,3-DS ✅,test,platt,8733,782,0.9790589965842577,0.7664722247653442
artifacts/experiments/exp_f6_ratio_3_0,3-DS ✅,test,platt,8733,782,0.9790589965842577,0.7664722247653442
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,3-DS ✅,test,platt,8733,782,0.9777299643178922,0.8722256158575122
artifacts/experiments/exp_a_no_direction,3-DS ✅,test,platt,8733,782,0.9752240465176573,0.7321726374654176
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,3-DS ✅,test,platt,8733,782,0.9739369913096231,0.8485529351690166
artifacts/experiments/exp_f9_reduced,3-DS ✅,test,platt,8733,782,0.9726792074602721,0.7788450748070956
artifacts/experiments/exp_f5_weighted_usb,3-DS ✅,test,platt,8733,782,0.9723052738946765,0.6666976959614902
artifacts/experiments/exp_db_iat_balanced,3-DS ✅,test,platt,8495,657,0.9693748948940553,0.7881168826842535
artifacts/balanced_bagging_tuned,3-DS ✅,test,platt,9384,1289,0.9667708088251854,0.8822102985215932
artifacts/balanced_bagging_cat,3-DS ✅,test,platt,10846,1610,0.9642923383788524,0.8836692621012996
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,3-DS ✅,test,platt,8733,782,0.9616056273061248,0.785481069626172
artifacts/experiments/ablation_4f_no_p25,3-DS ✅,test,platt,8495,657,0.9592071448351182,0.6485950982798261
artifacts/balanced_bagging_xgb,3-DS ✅,test,platt,10846,1610,0.9569982367134815,0.8351758357716234
artifacts/balanced_bagging_lgbm,3-DS ✅,test,platt,10846,1610,0.9551069068107783,0.8369131233207217
artifacts/balanced_bagging_firewall_tuned_ensemble_2dataset_backup,2-DS (by design),test,platt,1844,251,0.9442568708217975,0.861325310784104
artifacts/experiments/ablation_3f_core,3-DS ✅,test,platt,8495,657,0.9388026097733284,0.6226058259870119
