model_id,family,feature_family,n_features,pooled_auc,pooled_pr_auc,session_auc,recall,fpr,tp,fp,tn,fn,worst_domain_recall,worst_domain_fpr,lodo_iscx_auc,lodo_usbvpn_auc,lodo_vnat_auc,lodo_mean_auc,lodo_min_auc,domain_auc,domain_acc,ece,threshold_instability,runtime_compatible,final_score,dann_lambda,enc_hidden,dropout,batch_norm,balanced,input_domain_auc,embedding_domain_auc,domain_reduction,deployment_eligible,deployment_final_score,dann_research_score,groupdro
anti_fingerprint_hybrid__xgb,xgb,anti_fingerprint_hybrid,12,0.9879751629557278,0.6988442284319027,0.9471947194719472,0.3205128205128205,0.0020730759264058,75.0,16.0,7702.0,159.0,0.0,0.0152817574021012,0.442662399682457,,0.5210396039603961,0.4818510018214265,0.442662399682457,0.9999582241338744,0.9998742612850496,0.0066342515092328,0.0078846428320672,True,0.179979064940908,,,,,,,,,True,0.4299581770078452,,
anti_fingerprint_hybrid__lgbm,lgbm,anti_fingerprint_hybrid,12,0.9883024033062904,0.795549020390878,0.9471947194719472,0.5170940170940171,0.0023322104172065,121.0,18.0,7700.0,113.0,0.0,0.0171919770773638,0.442662399682457,,0.5210396039603961,0.4818510018214265,0.442662399682457,0.9999582241338744,0.9998742612850496,0.0072365158463099,0.0078846428320672,True,0.1798284988566388,,,,,,,,,True,0.4298076109235759,,
anti_fingerprint_hybrid__calibrated_ensemble,calibrated_ensemble,anti_fingerprint_hybrid,12,0.9230741545460384,0.6367601394053974,0.8102310231023102,0.4273504273504273,0.0024617776626068,100.0,19.0,7699.0,134.0,0.0,0.0181470869149952,0.442662399682457,,0.5210396039603961,0.4818510018214265,0.442662399682457,0.9999582241338744,0.9998742612850496,0.0224870124925399,0.0078846428320672,True,0.1760158746950812,,,,,,,,,True,0.4259949867620184,,
anti_fingerprint_hybrid__bagging,bagging,anti_fingerprint_hybrid,12,0.9890274815449732,0.6985041421444739,0.9471947194719472,0.4273504273504273,0.0024617776626068,100.0,19.0,7699.0,134.0,0.0,0.0181470869149952,0.442662399682457,,0.5210396039603961,0.4818510018214265,0.442662399682457,0.9999582241338744,0.9998742612850496,0.034871313035039,0.0078846428320672,True,0.1729197995594565,,,,,,,,,True,0.4228989116263936,,
timing_shape__bagging,bagging,timing_shape,5,0.9440385778167588,0.3994841226685549,0.6963696369636964,0.1623931623931624,0.0042757190982119,38.0,33.0,7685.0,196.0,0.0,0.0296084049665711,0.4511798294033251,,0.5,0.4755899147016625,0.4511798294033251,0.9890528110013064,0.9683091464239196,0.0679038967360661,0.0116637432566193,True,0.1745564712553318,,,,,,,,,True,0.419082876755985,,
size_shape__lgbm,lgbm,size_shape,7,0.9660641789755549,0.5643667149800291,0.8877887788778878,0.4230769230769231,0.0038870173620108,99.0,30.0,7688.0,135.0,0.0,0.0286532951289398,0.3714550333461509,,0.6637788778877887,0.5176169556169697,0.3714550333461509,0.9975892351667,0.9845325722582436,0.0238669886424008,0.0022869965137217,True,0.124930397282255,,,,,,,,,True,0.3737250148656051,,
size_shape__cat,cat,size_shape,7,0.9597782296020182,0.3190499380126988,0.9042904290429044,0.0384615384615384,0.0053122570614148,9.0,41.0,7677.0,225.0,0.0,0.0391595033428844,0.3714550333461509,,0.6637788778877887,0.5176169556169697,0.3714550333461509,0.9975892351667,0.9845325722582436,0.0257432405412457,0.0022869965137217,True,0.1244613343075438,,,,,,,,,True,0.3732559518908939,,
size_shape__xgb,xgb,size_shape,7,0.9569526669811718,0.3280262129329148,0.8943894389438944,0.0128205128205128,0.0036278828712101,3.0,28.0,7690.0,231.0,0.0,0.0267430754536771,0.3714550333461509,,0.6637788778877887,0.5176169556169697,0.3714550333461509,0.9975892351667,0.9845325722582436,0.0259618667704538,0.0022869965137217,True,0.1244066777502418,,,,,,,,,True,0.3732012953335918,,
size_shape__bagging,bagging,size_shape,7,0.9613593375902264,0.3373274093135515,0.8844884488448845,0.0683760683760683,0.0054418243068152,16.0,42.0,7676.0,218.0,0.0,0.0401146131805157,0.3714550333461509,,0.6637788778877887,0.5176169556169697,0.3714550333461509,0.9975892351667,0.9845325722582436,0.0828164675105364,0.0022869965137217,True,0.1101930275652211,,,,,,,,,True,0.3589876451485712,,
size_shape__calibrated_ensemble,calibrated_ensemble,size_shape,7,0.9509792847445088,0.3006008233708486,0.8745874587458746,0.8547008547008547,0.0527338688779476,200.0,407.0,7311.0,34.0,0.0,0.3046800382043935,0.3714550333461509,,0.6637788778877887,0.5176169556169697,0.3714550333461509,0.9975892351667,0.9845325722582436,0.0235743341359273,0.0022869965137217,True,0.0181688887140042,,,,,,,,,True,0.2669635062973544,,
robust9_clean__lgbm,lgbm,robust9_clean,9,0.9923364296582746,0.8636862546977776,0.9603960396039604,0.6367521367521367,0.0019435086810054,149.0,15.0,7703.0,85.0,0.0,0.0143266475644699,0.3918575852673274,,0.3353960396039603,0.3636268124356439,0.3353960396039603,1.0,1.0,0.0061803437635324,0.0220444411698296,True,0.0101532495884417,,,,,,,,,True,0.2601532495884417,,
robust9_clean__xgb,xgb,robust9_clean,9,0.9938206390655212,0.8790321541371892,0.9504950495049506,0.6196581196581197,0.0027209121534076,145.0,21.0,7697.0,89.0,0.0,0.0200573065902578,0.3918575852673274,,0.3353960396039603,0.3636268124356439,0.3353960396039603,1.0,1.0,0.0065554759055654,0.0220444411698296,True,0.0100594665529335,,,,,,,,,True,0.2600594665529334,,
robust9_clean__cat,cat,robust9_clean,9,0.9932525365279964,0.8700496261972868,0.9504950495049505,0.6111111111111112,0.0024617776626068,143.0,19.0,7699.0,91.0,0.0,0.0181470869149952,0.3918575852673274,,0.3353960396039603,0.3636268124356439,0.3353960396039603,1.0,1.0,0.0083274951201395,0.0220444411698296,True,0.00961646174929,,,,,,,,,True,0.2596164617492899,,
